passo,no_linha,no_coluna
0,0,0
1,0,1
2,0,2
3,0,3
4,0,2
5,1,2
6,1,1
7,2,1
8,2,0
9,3,0
10,3,1
11,3,0
12,4,0
13,5,0
14,5,1
15,5,2
16,4,2
17,4,3
18,3,3
19,2,3
20,2,4
21,1,4
22,1,5
23,0,5
24,0,6
25,0,7
26,0,8
27,0,9
28,1,9
29,1,8
30,1,7
31,1,6
32,2,6
33,2,5
34,2,6
35,2,7
36,2,8
37,2,9
38,3,9
39,3,8
40,3,7
41,3,6
42,3,7
43,4,7
44,4,8
45,4,9
46,5,9
47,6,9
48,7,9
49,8,9
50,9,9
51,9,8
52,9,7
53,9,6
54,8,6
55,7,6
56,6,6
57,6,7
58,7,7
59,6,7
60,6,6
61,7,6
62,8,6
63,9,6
64,9,7
65,9,8
66,9,9
67,8,9
68,7,9
69,6,9
70,5,9
71,4,9
72,4,8
73,4,7
74,3,7
75,3,8
76,3,9
77,2,9
78,2,8
79,2,7
80,2,6
81,1,6
82,1,7
83,1,8
84,1,9
85,0,9
86,0,8
87,0,7
88,0,6
89,0,5
90,1,5
91,1,4
92,2,4
93,3,4
94,4,4
95,4,5
96,4,4
97,5,4
98,6,4
99,6,3
100,6,2
101,6,1
102,6,0
103,7,0
104,7,1
105,7,2
106,7,3
107,7,4
108,8,4
109,8,3
110,8,2
111,8,1
112,8,0
113,9,0
114,9,1
115,9,2
116,9,3
117,9,4
118,9,3
119,9,2
120,9,1
121,9,0
122,8,0
123,8,1
124,8,2
125,8,3
126,8,4
127,7,4
128,7,3
129,7,2
130,7,1
131,7,0
132,6,0
133,6,1
134,6,2
135,6,3
136,6,4
137,5,4
138,4,4
139,3,4
140,2,4
141,2,3
142,3,3
143,4,3
144,4,2
145,5,2
146,5,1
147,5,0
148,4,0
149,3,0
150,2,0
151,2,1
152,1,1
153,1,2
154,0,2
155,0,1
156,0,0
